Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,家電量販店（店長）,来客数の動き,・前年11月末で競合店が１店閉鎖し、新規顧客が増加した。また歳末商戦・初売りもデジタル家電中心に大物商品が好調であった。
,,○,家電量販店（店員）,単価の動き,・薄型液晶テレビ・ＤＶＤレコーダー・乾燥機能付き洗濯機・大型冷蔵庫などが良く売れ、平均単価が少し上がった。また来客数も少し増えた。
,,○,その他専門店［医薬品］（経営者）,お客様の様子,・来客数の落ち込みはやや底をついたようで、ようやく売上も安定はしてきた。まとめ買いをする客も少し出てきた。
,,○,美容室（経営者）,お客様の様子,・陳列している商品に興味を示し尋ねたり、購入する客が以前より増えてきた。
,,○,設計事務所（所長）,競争相手の様子,・業界全体的に新規物件の動きが活発になり始めているような印象を受ける。
,,□,商店街（代表者）,お客様の様子,・大手百貨店の閉店後、大型店の売上は前年比102～105％で推移しているが、路面店は何とか前年を上回っている状態が続いている。観光客への依存が高い飲食店は、航空機の減便で観光客が減少している上、ホテルでの食事が付いている格安パックの影響もあり、前年比90％前後で推移している。
,,□,商店街（代表者）,単価の動き,・暖冬などの影響で冬物のバーゲンが早まり、シーズンを通しての単価が下がる傾向にある。12月下旬から１月下旬にかけて売上が少し下降気味になってきているような気がする。
,,□,商店街（代表者）,単価の動き,・冬物セール時期であったが、前年から引き続いて、単価の高い防寒物や重衣料の動きが悪い。単価の低い商品中心の売上になっているのでセールといってもそれほど盛り上がりはみられない。
,,□,百貨店（売場主任）,単価の動き,・１月はセール待ちの客が多いという流れもあり、必要以外の物を消費するという傾向はやはりなく、特に冬用のコートなど重衣料の売上が伸び悩んでいる。
,,□,百貨店（販売促進担当）,競争相手の様子,・初売りのブランドマークダウンのタイミングが、前年は４日スタートがほとんどだったのが、今年はほとんどのブランドで２日から始まったため軒並み前年を上回ったが、前倒しの需要になっただけで、トータルすると前年より悪化している。また、大型低気圧の影響による大雪の影響には苦戦した。ただし、直近では春物に対する顧客の反応は早そうな手ごたえを感じる。
,,□,コンビニ（店長）,お客様の様子,・若い２人組のサラリーマンがレジの前ですごい会話をしていた。一人が税込み150円のカップラーメンを買ったら、もう一人が「お前そんなぜいたくをして大丈夫なのか？」と言っていた。思い切って１回の食事にかける費用はどれくらいが妥当かと聞いてみると、100円程度とのことであった。
,,□,乗用車販売店（従業員）,販売量の動き,・収入減少のためか、多少値引きを上乗せしても代替えが早まらず、なかなか決まらない。
,,□,乗用車販売店（役員）,お客様の様子,・様子見の客が多く、車両販売増が見込めない。また、車両整備での入庫も相変わらず減少している。
,,□,住関連専門店（経営者）,来客数の動き,・今月はバーゲンを開催したが、商品を安くすると客は購入するようだ。ただし、バーゲン以外の日は依然として前年を下回って推移している。
,,□,住関連専門店（営業担当）,単価の動き,・依然として客単価が前年比98％前後で推移している。１人当たりの買上点数が前年比102％前後と増加しており、売上高の減少は収まってきているものの、３か月前と比べて良くなっているようには思われない。
,,□,高級レストラン（スタッフ）,来客数の動き,・月２度の利用を１度にしているように来客数が低迷しているが、単価が上昇しているため売上は何とか保っている状況である。
,,□,高級レストラン（スタッフ）,来客数の動き,・１月中旬以降は、毎年苦戦する時期であるが、今年は特に観光客の入込数の減少していることから、売上は前年比で10％以上減少している。
,,□,一般レストラン（スタッフ）,来客数の動き,・前月に引き続き、１月の来客数も前年に比べて10％以上の減少となっている。２か月連続して大幅な減少である。
,,□,スナック（経営者）,来客数の動き,・12月は忘年会などで忙しい月だったが、１月は新年会の予約も少なく、かなり売上も落ちそうだ。
,,□,旅行代理店（従業員）,来客数の動き,・来客数はほぼ前年並みだが、海外旅行でわずかに復調の兆しがみえてきた。
,,□,タクシー運転手,来客数の動き,・１月は新年会などでタクシーの利用が増えることを期待したが、前年よりも人出が少なく、夜間の利用が減っている。また大雪により除雪が追いつかず、道路が大渋滞したことでタクシーの効率が極端に悪くなっている。
,,□,タクシー運転手,お客様の様子,・特に夜間の客の動きが悪い。
,,□,観光名所（役員）,販売量の動き,・ロープウェイの輸送人員は、ほぼ前期並みで推移している。
,,□,その他レジャー施設（職員）,販売量の動き,・３か月前に比べるとイベント数は小規模ながらも増えているが、イベント以外の日の来客数が少なく、トータルの売上高は３か月前とあまり変わらない。
,,▲,一般小売店［酒］（経営者）,販売量の動き,・得意先の飲食店の売上が極めて悪い。ＢＳＥや鳥インフルエンザの影響があって、客の心理に飲食の控え感が出ている。
,,▲,スーパー（店長）,来客数の動き,・来客数・売上とも前年を下回り、厳しい状況である。食品部門も来客数は前年実績を確保したものの、売上は前年比を10％以上下回っている。特に生鮮食品の低迷が顕著である。またハレの日の食卓が変化してきているのか、例年だと年末に動向が顕著になる食品が、前年末は低調に推移した一方で、今月月初めは好調な売上となった。
,,▲,スーパー（店長）,単価の動き,・現在、客単価が前年比85％まで落ち込んでいる。
,,▲,スーパー（企画担当）,販売量の動き,・今冬の暖冬傾向と社会保険料のボーナス引き落としに伴う所得の目減り感、あるいは年末年始の消費の分散化傾向の影響などで、足元の買上点数が減少してきている。
,,▲,コンビニ（エリア担当）,お客様の様子,・特売時の買い方が安い商品ばかりで、通常の値段の商品の動きが鈍くなっている。
,,▲,コンビニ（エリア担当）,来客数の動き,・来客数の減少と同時に買上点数の減少が起きており、結果として売上の減少が続いている。
,,▲,衣料品専門店（店長）,来客数の動き,・例年よりやや暖かったので衣料品などの売上が非常に悪い。また人出も悪かった。
,,▲,衣料品専門店（店員）,来客数の動き,・今月上旬は冬のセール時期に当たり、その時の来客数はかなり多く見られたが、中旬以降の来客数はかなり減っている。季節も中途半端なため冬物が売れず、春物もまだ買い渋る状況である。
,,▲,家電量販店（地区統括部長）,来客数の動き,・６月以降好調に推移していたが、前半の暖冬と中旬の大雪の影響で客足の動きが悪く、久々に苦戦した。売上は薄型テレビ・ＤＶＤの好調に支えられ、かろうじて前年を上回った。
,,▲,住関連専門店（従業員）,販売量の動き,・１人当たりの買上点数が減少しつつある。
,,▲,高級レストラン（スタッフ）,お客様の様子,・外食控えが続いており、レストランはランチ、ディナーとも来客数が落ち込み、前年より15％ほどダウンしている。個室の売上は、企業の新年会が日中に開催されたこともあり、昼が前年の倍となったものの、夜が前年の半分強となり、結果として前年比75％ほどとなった。一方、景気の良かった農業・漁業関係者の団体予約があり、多少売上に貢献してくれた。
,,▲,観光型ホテル（スタッフ）,販売量の動き,・総消費単価は微減で、ある程度底を打った感があるが、宿泊客数は１割近く落ち込んでいる。
,,▲,旅行代理店（従業員）,販売量の動き,・１月14日の大雪以来、客の動きが止まった。前年比では30％程度の減少で厳しい年度末になっている。
,,▲,タクシー運転手,来客数の動き,・各企業の新年会などは規模を縮小したり、一次会だけということもあって、週末でも深夜０時以降は閑散としている現状である。
,,×,スーパー（店長）,競争相手の様子,・今まで、競合店のチラシは週に１～２回だったが、最近では週に３回もしくは４回入るようになり、価格の低下もどんどんエスカレートしている。また本当に必要な商品以外購入しない傾向がますます強くなっている。
,,×,スナック（経営者）,来客数の動き,・毎年１月は努力をして客の導入をかけているが、前年・一昨年以上に努力をしているにもかかわらず来客数が落ち込んでいる。
,,×,観光型ホテル（経営者）,来客数の動き,・道外客、地元客ともに不調である。特に顕著なのが、団体旅行の少人数化である。観光バス１台につき、30～40名程度だったものが、25～35名程度に落ち込んでいる。業界では、個人客へのシフトが指摘されているが、個人客も動きが鈍い。景気とは無縁と思われるような、色々な風評が飛び交い、旅行気分に水を差している。
,,×,住宅販売会社（従業員）,単価の動き,・客の動きが非常に悪くなっている。単価が低くなっても状況は変わらず、販売量も減少している。
"企業
動向
関連

(北海道)",,◎,－,－,－
