Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,商店街（代表者）,販売量の動き,・商店街にある百貨店の食料売場の改装に加えて、周辺の小型スーパー２店舗の閉鎖により、売上が回復している。大型連休の期間は、周辺のホテルが満室状態となり、飲食店の売上が前年比約120％と好調であったほか、商店街全体に効果がみられた。
,,○,商店街（代表者）,お客様の様子,・大型連休の影響が懸念されたが、近場へ買物に出かける客も割と多くみられた。また、季節の変わり目ということで、衣料品を買い求める客もみられ、購買意欲が多少増している。
,,○,一般小売店［土産］（経営者）,来客数の動き,・大型連休の売上がとても良かった。高速道路料金引下げが相当影響している。
,,○,百貨店（役員）,販売量の動き,・好天に恵まれたことで客足が良く、好調に推移している。特に価格に敏感な層に動きがみられる。
,,○,スーパー（店長）,来客数の動き,・今月は衣料品が好調であり、売上は２けた以上の伸びを達成している。全体でも来客数が２けたの伸びとなっており、売上が好調に推移している。
,,○,スーパー（店長）,販売量の動き,・プライベートブランドの値下げなどの効果もあり、販売量は２けたの伸びとなっている。ただ、客単価は前年ベースを下回っている。
,,○,家電量販店（経営者）,販売量の動き,・エコポイント制度の効果で薄型テレビの販売が好調である。
,,○,高級レストラン（スタッフ）,競争相手の様子,・大型連休の効果に加えて、天候にも恵まれたことから、売上は前年を15％上回っている。同業者もどこも同じように良かったと聞いている。
,,○,タクシー運転手,販売量の動き,・大型連休は思っていたよりも多くの観光客がみられたことから、売上は３か月前に比べて約８％増加している。前年と比べても減少幅が小さくなっている。
,,○,住宅販売会社（経営者）,販売量の動き,・前政権での補正予算の効果が多少みられ、建設会社やゼネコンの業績がやや回復している。
,,□,商店街（代表者）,お客様の様子,・客の動きとして、様子を見ようという動きがみられる。
,,□,商店街（代表者）,来客数の動き,・９月の来街者数は前年並みであったが、ウインドウショッピングをしている客は少なく、よそ見をせずに目的の店舗にまっすぐ向っており、相変わらず目的の用事以外の買物にはお金を使わない。
,,□,一般小売店［土産］（店員）,お客様の様子,・新千歳空港の乗降客数は前年を下回っているが、物販、飲食店共に来客数の減少幅よりも売上の減少幅が大きくなっている。北海道を訪れる人達がお金を使っていない状況にある。
,,□,百貨店（売場主任）,来客数の動き,・ここ３か月の買上客数は前年比97.8％となっており、９月も同じような傾向であった。
,,□,スーパー（役員）,単価の動き,・９月に入り、客単価は前年比で４ポイントほど上昇しているが、相変わらず商品単価が下がっている。買上点数の増加で客単価を維持しているが、商品単価はまだ低下傾向にある。
,,□,スーパー（役員）,来客数の動き,・大型連休は人の動きがみられたことから来客数が増えたが、それ以降は特に大きな変化はみられなかった。
,,□,コンビニ（エリア担当）,来客数の動き,・大型連休の期間は高速道路料金引下げの効果もあり、紅葉などの行楽需要がみられ、売上が前年から10％ほど増加したが、全体としては変わらないまま推移した。
,,□,家電量販店（店長）,販売量の動き,・エコポイント制度の効果が期待したほど出ていない。
,,□,家電量販店（店員）,お客様の様子,・暖房機の動きが良く、薄型の高額のＦＦ式ストーブの販売量が前年を上回っている。
,,□,家電量販店（地区統括部長）,販売量の動き,・エコポイント制度効果による需要は一段落している。薄型テレビの販売量が引き続き好調なものの、ＯＡ機器や白物家電の不振が続いており、全体としてはほぼ横ばいである。
,,□,乗用車販売店（従業員）,販売量の動き,・スクラップインセンティブなどの古い車の買換えを促進する国の補助政策があるが、その効果はあまり感じられない。特異なエコカー人気がなければ、厳しいことこの上ない。
,,□,乗用車販売店（営業担当）,販売量の動き,・ハイブリット車の納車がエコカー減税の免税対象期間である３月に間に合わず、４月に入るようになったため、販売量が20％近く減少している。
,,□,住関連専門店（従業員）,販売量の動き,・プレミアム付商品券の効果が出てきているが、全体としては変わらない。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・高速道路料金引下げの影響もあり、大型連休期間中の自動車燃料の販売量が前年を上回っている。
,,□,一般レストラン（スタッフ）,競争相手の様子,・同じフロアの競合店が８月末で閉店したため、当店の売上は前年を上回ったが、飲食店街全体の売上は引き続き前年を下回っている。
,,□,観光型ホテル（経営者）,来客数の動き,・大型連休期間以外は前年を下回る来客数となり、依然として厳しい状況が続いている。
,,□,旅行代理店（従業員）,来客数の動き,・今月の来客数は前年比で82％程度にとどまっている。販売量は前年を上回っているが、大型連休の効果による一過性の現象に過ぎない。一方、３か月後の先行受注状況をみると、来客数と同様に前年比は82％程度となっている。
,,□,旅行代理店（従業員）,販売量の動き,・来客数はやや増えているものの、単価はむしろ低下傾向にあり、ＪＲ券や航空券などの単品での購入にシフトしている。
,,□,タクシー運転手,来客数の動き,・相変わらず電話での注文が減少している。
,,□,通信会社（社員）,お客様の様子,"・相変わらず客の購買意欲は低く、慎重になっている。インターネットと固定電話の他社からの切替えの提案を行っても、サービス内容が増えることや利用環境が向上することよりも、月額料金が現在より11,000円程度増えることがネックとなり、思いとどまるケースが多い。支出の増加に対する客の抵抗感がまだ強いと感じる。"
,,□,通信会社（企画担当）,競争相手の様子,・競合他社において、引き続き利益を度外視した営業攻勢がみられるものの、自社の売上は計画通りであった。
,,□,観光名所（役員）,来客数の動き,・今月の前半は観光客の入込数が引き続き低迷したものの、大型連休が天候に恵まれたことから順調な入込がみられ、月全体としては前年を若干上回る入込数となった。
,,□,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・大型連休には突発的に利用者が増加したが、それ以外の期間は低迷したまま変化がみられない。
,,□,住宅販売会社（従業員）,お客様の様子,・依然として状況に変化がみられない。
,,▲,商店街（代表者）,お客様の様子,・天候の影響もあるが、季節の変わり目としては暇な日が続いている。依然として客は消費活動を行う気分になれないのか、先行き不安と相まって、売上になかなかつながらない。
,,▲,一般小売店［酒］（経営者）,お客様の様子,・今年は９月の大型連休があり、この間の営業が休業日となったことから、売上に大きな影響を与えている。また、得意先の様子も深刻な状況であり、客の購買意欲も低下している。
,,▲,スーパー（企画担当）,お客様の様子,・客の動向をみると、特別な行祭事での買物であっても最低限必要な物を購入して済ませる限定的な動きとなっている。
,,▲,コンビニ（エリア担当）,単価の動き,・ここ数か月、客の買上金額が前年を下回っており、単価の低い商品の構成比が高まっている。
,,▲,コンビニ（エリア担当）,来客数の動き,・報道されているような製造業の回復は部分的なものであり、地域全体の消費動向は依然として低迷している。９月の大型連休の効果は、ゴールデンウィークに好調だった地域でみられた。大型連休以外の期間は値引き商品の販売が目立った。
,,▲,衣料品専門店（店長）,お客様の様子,・売上や来客数の動きをみると、やや悪くなっている。
,,▲,その他専門店［医薬品］（経営者）,お客様の様子,・店頭で病院薬についての問い合わせが増えている。薬局で相談をして、病院で投薬を行うという客が増えている。
,,▲,高級レストラン（スタッフ）,来客数の動き,・今年は９月の大型連休があり、その間の売上は前年を30％近く上回ったが、その期間を除くと、ここ数か月続いた景気の上向き感が薄れている。
,,▲,高級レストラン（スタッフ）,販売量の動き,・大型連休期間中は活況となったが、月全体の売上は前年をやや下回った。
,,▲,観光型ホテル（経営者）,来客数の動き,・大型連休の期間中は宿泊客も満室状態と良かったものの、それ以外の期間の入込が極端に悪く、月全体では前年を下回っている。前年比のマイナスは過去にないほどの長期間にわたり続いている。
,,▲,観光型ホテル（スタッフ）,単価の動き,・新型インフルエンザなどの影響で、北海道観光の入込客が落ち込んでおり、販売量を確保するための価格競争が激しくなっている。宿泊代や食事代などの単価は前年から10％以上低下している。販売量を増やしても、人手が増えるため、人件費が増加し、利益の増加にはつながらない。
,,▲,旅行代理店（従業員）,単価の動き,・大型連休は、個人消費の節約志向と高速道路料金引下げの影響などにより、マイカー利用による日帰り旅行や温泉宿泊など客単価の低い旅行が目立った。
