Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,＊,＊,＊
,,○,衣料品専門店（店長）,来客数の動き,・店舗が入居している大型店に、新しくベビー用品を扱う店舗がオープンしたことにより、買い回り客が増加している。
,,○,乗用車販売店（営業担当）,販売量の動き,・来客数が前年より増えており、前年に比べて販売量も多くなっている。
,,○,その他専門店［医薬品］（経営者）,お客様の様子,・健康に対する投資という感覚が、意識レベルで上がってきているようだ。本当に体に良さそうな商品に期待する人が確実に増えてきている。
,,□,一般小売店［酒］（経営者）,販売量の動き,・販売量が落ち込んでいる。客単価も低下気味であり、少しでも安い物を買い、節約しようという風潮が一層顕著になっている。
,,□,百貨店（売場主任）,来客数の動き,・来客数の伸びない状況が続いている。
,,□,スーパー（役員）,お客様の様子,・来客数の増加と客単価の上昇により、既存店の売上高は前年比105％台で推移しているが、これは他社の状況が影響した一過性のものであり、決して景気が上向きとなっているわけではない。
,,□,コンビニ（エリア担当）,単価の動き,・燃料費の支出が増加する時期であり、ここ数か月と同様に、アルコールやたばこなど、ぜいたく品に位置付けられる商品の売上が鈍い。また夜間の来客数の減少が大きく、外出を控えている様子がうかがえる。
,,□,家電量販店（店員）,販売量の動き,・相変わらず薄型テレビがよく売れているが、全体の売上は前年と変わらない。
,,□,乗用車販売店（従業員）,販売量の動き,・わずかではあるが、販売台数が前年を下回って推移している。
,,□,その他専門店［造花］（店長）,販売量の動き,・例年と比べて、クリスマス関連商材の動きが悪かったが、正月用商材の動きは良かった。
,,□,高級レストラン（スタッフ）,単価の動き,・観光客のウェイトが高いため、週末は相当な待ち時間があるが、１か月を通しての来客数は前年比96％であった。月替わりメニューによるところもあるが、客単価が上昇しており、全体としては前年並みの売上となった。
,,□,観光型ホテル（経営者）,来客数の動き,・ここ数か月の来客数は前年比で微減傾向にあったが、今月は前年並みの来客数となった。
,,□,旅行代理店（従業員）,販売量の動き,・特に目立って景気が良くなるような要因もなく、全体的に客の動きが鈍い。
,,□,旅行代理店（従業員）,お客様の様子,・国内個人旅行の需要が伸び悩んでいる。年末年始の海外旅行も低廉な商品が主流となっている。
,,□,タクシー運転手,お客様の様子,・灯油高騰の影響で全体的に出控え感があり、年末繁忙期になっても売上が前年を下回る状況が続いている。また12月17日には10年ぶりの運賃値上げがあったが、その効果が今一つ現れていない。
,,□,タクシー運転手,販売量の動き,・今月は忘年会時期で、例年であれば１年のうちで最も忙しい繁忙期となるが、今年は天候が良く、また灯油やガソリンの値上がりの影響から、客の財布のひもが固く、全体的に非常に悪い状況となっている。
,,□,観光名所（役員）,来客数の動き,・前年と比較して、国内団体客が引き続き減少傾向にあるものの、個人客が安定した動きをみせていることに加えて、海外客の増加もあり、売上は前年から７～８％のプラスが見込まれている。
,,□,その他レジャー施設（職員）,来客数の動き,・例年、この時期に来客数の増える施設の来客数が増えてこない。新規客はそれなりに来ているが、特にリピート客が増えてこない。
,,□,美容室（経営者）,来客数の動き,・驚異的な灯油の高騰に加えて、電気料金、水道料金、ガス料金の値上がりもあり、体力不足の北海道民にとって負担が大きく増している。
,,□,その他サービスの動向を把握できる者,来客数の動き,・観光客は前年比で４か月連続のマイナスとなっているが、減少率は徐々に下がってきており、歯止めが掛かってきている状況にある。
,,□,住宅販売会社（従業員）,販売量の動き,・相変わらず悪い状態が続いている。改善の兆しが見えるどころか、条件の悪さが更に進んでいるように感じる。
,,▲,商店街（代表者）,お客様の様子,・お歳暮、クリスマス、お正月用品などの歳時需要が前年を下回っている。これは消費者の歳時期に対する意識が薄れていることに加えて、原油高の影響による灯油などの値上がりが追い討ちとなっており、特に月後半の失速が目立っている。
,,▲,商店街（代表者）,販売量の動き,・客の低単価志向は強く、商品の動きは横ばい傾向にある。現況においては、販売量の増加は期待できない状況にある。
,,▲,商店街（代表者）,お客様の様子,・灯油等の高騰の影響から、12月に入ってから、客が財布のひもをかなり締めている感がある。特に月末はバーゲン待ちの客が多く、客の購買意欲が今一つ上がらない月であった。
,,▲,商店街（代表者）,お客様の様子,・客との会話の中で、物が値上がりして買うのに苦しいという声が多く聞かれる。
,,▲,百貨店（売場主任）,来客数の動き,・12月に入り、非常に寒くなったことで、コートや防寒物のブルゾンなどが売れてはいるものの、客単価が低下している。クリスマスギフトに関しても貴金属類から皮小物や雑貨関係に移っている傾向が強く感じられ、単価が非常に低下している。
,,▲,百貨店（販売促進担当）,お客様の様子,・諸物価の値上がりが消費マインドを冷やしている。特に冬の寒さが厳しくなった今月は、灯油の値上がりの影響が大きい。ファッションの購買に関しては、すでに中旬の段階で、１月から始まるセール待ちの様相が濃くなってきている。定価品の販売が厳しさを増しているなか、マークダウンの前倒しなど、客の購買意欲をかき立てる策を実施しているが、客の反応は今一歩である。
,,▲,スーパー（店長）,販売量の動き,・前年12月は競合店の倒産があったことの影響で売上が良かったため、今年12月は前年を下回る予算組みをした。結果的に予算はクリアしたが、やはり前年には届かなかった。
,,▲,スーパー（企画担当）,お客様の様子,・商品の品目数限定ではあるが、現在、価格凍結あるいは引下げ対応を行っており、凍結対象商品の販売量は前年から大幅な伸びを示している。一方で、それ以外の商品の動きは極端に悪くなっており、客の生活防衛意識がますます高まっている。
,,▲,コンビニ（エリア担当）,単価の動き,・第一次産業の不振と工事需要の減少、公務員所得の減少などの影響から、客単価は低下する一方である。前年のたばこの値上がりの影響による喫煙率の低下の影響も大きい。
,,▲,衣料品専門店（店長）,販売量の動き,・商店街の売出しや自分の店の状態から、どんな催事をやってもさっぱり客が動いてくれない。買物の仕方も非常に小さくなっている。
,,▲,家電量販店（経営者）,お客様の様子,・灯油の高騰により、客の消費行動に影響が出ている。10月の地上デジタル放送開始の勢いを消してしまった。
,,▲,乗用車販売店（従業員）,お客様の様子,・原油高騰の影響による石油、ガソリン等の値上がりで、各家庭の消費能力が落ちている。
,,▲,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・石油製品価格の急騰により、節約ムードが増している。
,,▲,高級レストラン（スタッフ）,来客数の動き,・今月はランチや団体客が減少した。ランチの来客数は、女性客が減ったことから前年比25％の減少となった。ディナーと個室の来客数は企業の団体利用が減り、前年比10～15％の減少となった。札幌の人気店であっても、週末の直前予約が取れたようだ。観光地では、道内客の比率が下がり、アジアからの外国人客でどうにか前年並みとした店舗が多いようである。地方都市の飲食店は、安くておいしいと評判の店ははやっているが、おいしくても高級店は厳しいようだ。
,,▲,一般レストラン（スタッフ）,単価の動き,・来客数は前年を上回っているが、安いサービスメニューばかりが売れて、客単価の低下が続いている。
,,▲,観光型ホテル（経営者）,来客数の動き,・地元客、特に企業や団体などの利用客が激減している。特殊な要因があるように言われているため、一概には言えないが、厳しい状況にある。一方、客の総消費単価は上昇しているが、来客数の減少をカバーするまでは至っていない。
,,▲,観光型ホテル（スタッフ）,単価の動き,・旅行商品でみると、低単価商品に人気が集まっていて、高単価商品の動きが悪い。そのため販売量はあるものの、全体的には単価が低下している。
,,▲,旅行代理店（従業員）,販売量の動き,・移動距離の長い旅行が少なくなり、手短に行ける旅行が増えている。
,,▲,タクシー運転手,来客数の動き,・12月は忘年会などで、１年でタクシーの売上が最も多くなる月である。例年であれば、すすきのでもタクシーが拾えなくなり、タクシー乗り場に客が並ぶ日もあるが、今年はそのような日は１日もなく、年末なのに暇な日が多かった。また12月17日から札幌のタクシーが値上げしたが、利用客が減って、売上増とはなっていない。
,,▲,美容室（経営者）,販売量の動き,・技術の売上は若干の減少だが、商品の売上は前年から10％程度減少しており、客の購買意欲がかなり低下していることがうかがえる。
