Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（経営者）,来客数の動き,・３か月前と比べると、観光客が前年並みに戻ってきている。売上も７月は前年比で85～90％近くまで戻ってきた。
,,◎,自動車備品販売店（店長）,販売量の動き,・地上デジタル放送関連商品の駆け込み需要に加えて、高速道路の無料化社会実験の廃止により、ＥＴＣ車載器の需要が増加している。
,,○,商店街（代表者）,単価の動き,・単価の高い商品が少しずつではあるが動き始めている。
,,○,商店街（代表者）,販売量の動き,・バーゲン月ということもあり、来客数が増加しており、単価の低い商品が中心ではあるが、販売量が前年を上回っている。気温の高さもプラス要因となっている。
,,○,商店街（代表者）,来客数の動き,・３か月前に比べると、観光バスなどが入るようになっており、客の動きが出てきた。
,,○,百貨店（販売促進担当）,来客数の動き,・７月に入っても来客数が堅調に推移している。
,,○,百貨店（役員）,販売量の動き,・今月はホームセンター、スーパーマーケットともに好調である。特に地上デジタル放送関連商品と暑さ対策の商品がエコブームと相まって、売上を押し上げている。
,,○,スーパー（店長）,来客数の動き,・気温が順調に上昇していることもあり、来客数は前年比105％と増加している。衣食住と足並みがそろって売上が伸びている状況であり、景気としてはやや良くなっている。
,,○,スーパー（役員）,来客数の動き,・過去３か月は東日本大震災の影響のせいか、既存店ベースの来客数が前年比で2.0～3.5％落ち込んで推移していたが、７月は前年比100％の水準まで戻ってきている。決して良い状況ではないが、客単価においても前年比100％を維持しており、７月全体での売上が前年比100％を確保できそうな状況にある。
,,○,コンビニ（エリア担当）,来客数の動き,・気温の上昇により売上は回復傾向にある。懸念していた来客数も徐々に回復してきている。
,,○,コンビニ（エリア担当）,販売量の動き,・東日本大震災以降、米やたばこなどの高単価商品を買い控えていた客が購入を再開し始めている。
,,○,乗用車販売店（従業員）,販売量の動き,・自動車の生産状態が回復しているなか、新型車投入の影響もあり、売上が良くなってきている。
,,○,乗用車販売店（営業担当）,単価の動き,・新型車の販売が増えているなか、値引きの抑制傾向もあり、客単価の上昇につながっている。
,,○,住関連専門店（従業員）,販売量の動き,・地上デジタル放送への完全移行に伴い、テレビチューナーがよく売れた。
,,○,高級レストラン（スタッフ）,お客様の様子,・３か月前の東日本大震災直後と比べると、客の来店は増えている。少しずつ景気が良くなっている。
,,○,タクシー運転手,販売量の動き,・夏場に入ったことで、タクシー１台当たりの売上は、３か月前と比較して約26％増加している。例年、この時期は売上が増加する傾向にあるが、前年と比較しても約20％の伸びがみられるなど、今年は増加幅が大きくなっていることから、景気は良くなってきている。しかしながら、タクシー1台当たりの売上自体は前年と比較すると、約４％の減少となっている。
,,○,通信会社（社員）,お客様の様子,・客の職種にもよるが、停滞ムードが薄れてきており、これから新たに何か始めてみようという客が少しずつ出てきている。客の間に物を考えることのできる余裕が出始めている。
,,○,観光名所（従業員）,来客数の動き,・これまでの客層に加えて、３か月前には全くみられなくなった外国人団体客の利用が再びみられるようになった。
,,○,観光名所（職員）,来客数の動き,・東日本大震災の影響も落ち着き、修学旅行、団体客などの国内利用客が戻りつつある。ただし、海外利用客は減少したままである。
,,○,美容室（経営者）,お客様の様子,・客の会話のなかに旅行や食事などの明るい話題が出始めており、客の来店頻度も若干ではあるが上向いている。
,,○,住宅販売会社（従業員）,販売量の動き,・販売戸数が順調に増加しているため、分譲マンションの在庫が少なくなってきている。最近の客は購入までの判断がとても早くなっている。また、東日本大震災と福島第一原子力発電所事故の影響からか、宮城県、福島県といった東北地方や首都圏からの客が増えている。
,,□,商店街（代表者）,お客様の様子,・全体的には東日本大震災による買い控え状態は薄れているが、景気が回復したとまでは言えない。
,,□,商店街（代表者）,お客様の様子,・季節商材の動きが活発になってきており、消費マインドが少しずつ上昇してきている。
,,□,商店街（代表者）,販売量の動き,・今月から毎週日曜日実施の歩行者天国が始まったことにより、来街者数が増加しているが、飲食店の売上が店舗平均でわずかながらに増加しているのみである。物販店では、依然として来客数が減少したままであり、客単価も上がらないままである。厳しい状況が継続している。
,,□,一般小売店［酒］（経営者）,販売量の動き,・夏場の最盛期であり、飲料やビール等の売上が良いことから、３か月前と比べると売上も良いが、季節要因を除くと、基調は大きく変わっていない。
,,□,百貨店（売場主任）,来客数の動き,・夏物のクリアランスセールについてみると、今年はカットソー、パンツに動きがみられるものの、ジャケット、ニット、スカートの売上が前年の90％台と厳しい状況にある。一方、中元需要は、今のところ前年比100％で推移している。
,,□,百貨店（売場主任）,来客数の動き,・全店での売上をみると、６月が前年比96.8％、７月が25日現在で前年比98.1％となっており、５～６月の前年比95％前後と比較すると上向き傾向にある。ただし、来客数は前年比95％前後で推移しており、客単価の上昇で売上が上向いている状況となっている。
,,□,百貨店（販売促進担当）,お客様の様子,・来客数はほぼ前年並みで推移しているが、衣料品、食品の買上客数が前年割れとなっている。客単価は上がっているものの、購買率の悪化の影響が大きくなっている。
,,□,スーパー（役員）,お客様の様子,・放射能汚染問題により、食品の買い控えが広がっている。和牛に限らず、果物などの農産物にも買い控えがみられるようになってきている。
,,□,コンビニ（エリア担当）,お客様の様子,・依然として、たばこの値上げによる売上金額上乗せの影響が大きいが、好天時やイベントの際の客の動きも回復傾向にある。
,,□,衣料品専門店（店員）,販売量の動き,・夏物の身の回り品は単価が低く、販売量、売上とも減少している。地上デジタル放送対策で家電量販店に購買が動いたとみられる。
,,□,家電量販店（店員）,来客数の動き,・アナログ放送の終了に伴い、駆け込み需要で小型テレビ、ＤＶＤレコーダー、地上デジタル放送チューナなどの売上が前年を大きく上回った。
,,□,その他専門店［医薬品］（経営者）,来客数の動き,・顧客の年齢層が年々上がっているため、夏場の好天がマイナス要因となっている。暑い日が続くと客足が減り、特に夕立が降ると最悪である。
,,□,高級レストラン（経営者）,来客数の動き,・観光客の入込が悪いこともあり、売上が前年より悪い状況が続いている。
,,□,高級レストラン（スタッフ）,来客数の動き,・夏休みに入り、子供連れやファミリーでの観光客が目立つが、全体の来客数は前年比で５％減少しており、依然として厳しい状況にある。一方で、地元出身の年配者やビジネスマンが客を連れ立って来店するような動きもみられた。
,,□,高級レストラン（スタッフ）,販売量の動き,・今月はやや悪く、予約客、フリー客とも伸びなかった。そのなかで、福島第一原子力発電所の事故問題で食品の産地が不安だという声を聞いた。日常の食品は元より、外食の際も牛肉が国産か輸入かを気にするようになっており、客足が遠のく原因になっている。
,,□,一般レストラン（スタッフ）,来客数の動き,・今月は当店の入居している空港ターミナルビルのリニューアルオープンの影響で来客数が増えているが、特殊要因であり、景気が上向いているとは言えない。
,,□,観光型ホテル（経営者）,来客数の動き,・東日本大震災以降、本州方面からの宿泊客数の減少が続いており、回復の兆しが見えない。
,,□,観光型ホテル（スタッフ）,お客様の様子,・国内客に関してはインターネットによる低価格商品への傾注が顕著である。海外からの集客にあっては台湾方面からの客がやや回復傾向にあるが、低価格帯中心であり、宿泊客数も前年の４割程度にとどまっている。
,,□,旅行代理店（従業員）,お客様の様子,・ボーナス商戦、夏休みの受注とも良くない状況にある。
,,▲,商店街（代表者）,お客様の様子,・客の動向をみると、景気が悪いという意識が会話のなかに感じ取れる。
,,▲,スーパー（店長）,販売量の動き,・価格競争の結果、超目玉商品以外は客が反応しなくなっており、中途半端な目玉商品では客が飛びつかなくなってきている。
,,▲,スーパー（店長）,販売量の動き,・浴衣、水着、アウトドアなどの盛夏商材は全て前年を下回る売上となっている。売上は地上デジタル放送関連商品の特需でカバーされているが、全体的な状況は悪い。
,,▲,衣料品専門店（店長）,お客様の様子,・東日本大震災後から、販売量、買上客数ともに減少している。実需期に突入しても、競合店を含めて季節商材の動きが悪く、必要以上に買物をしていない客の様子が見て取れる。
