Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,衣料品専門店（店長）,販売量の動き,・衣替えの時期になり、スーツの販売量が前年を超えている。高品質の商材に対する要望も多く、購買意欲が出てきている。
,,◎,乗用車販売店（従業員）,販売量の動き,・３月は春先需要もあり、北海道の車業界にとって最盛期を迎える。そうしたなかで、会社としても過去最高の数字を出していることから、３か月前と比べると景気は間違いなく良くなっている。新車種が特にあるわけではないが、人気車種の効果が続いている。
,,◎,観光型ホテル（スタッフ）,来客数の動き,・Ｗｅｂによる宿泊予約が国内客、外国人客共に好調である。
,,◎,通信会社（企画担当）,販売量の動き,・競合他社への流出は相変わらず多いものの、春商戦における引き合いが個人、法人を問わず多く、想定以上の販売量を記録した。
,,○,商店街（代表者）,販売量の動き,・３月は一般客による消費こそ余り振るわなかったが、外国人観光客による消費が比較的好調に推移した。ただ、外国人観光客の消費については、特定の高額商材がよく売れるなど、消費動向に変化がみられており、今後の対策が必要になってきている。
,,○,商店街（代表者）,来客数の動き,・雪解けとともに客が出歩く機会が増えている。
,,○,一般小売店［土産］（経営者）,お客様の様子,・大雨による河川の氾濫などの影響で交通機関が乱れていたこともあり、例年であればこの時期に訪れるはずの客が少なかった。外国人観光客による売上も20％台まで落ち込んだ。ただ、売上は前年の101％、前々年の115％となっており、引き続き好調に推移している。
,,○,一般小売店［土産］（経営者）,来客数の動き,・正月から春節にかけての来客数が減っていたものの、３月に入り中国方面からの外国人観光客がかなり伸びている。
,,○,百貨店（売場主任）,単価の動き,・来客数、買上客数の微減が続くなか、売上は微増傾向で推移している。客単価の上昇が要因であり、顧客動向として、買うのであれば良い商材をと考える傾向が続いている。
,,○,スーパー（役員）,来客数の動き,・野菜の価格が安定してきたことに加えて、気温の上昇などもあり、買物に来る客が増えてきている。
,,○,コンビニ（エリア担当）,単価の動き,・客単価が上昇している。
,,○,コンビニ（店長）,単価の動き,・単価の高い商材が売れ始めており、それに伴い客単価も上がってきている。
,,○,乗用車販売店（従業員）,販売量の動き,・１～２月に購入を控えていた客がみられた分、３月に入り購入客がやや増えている。
,,○,自動車備品販売店（店長）,お客様の様子,・洗車用品、車内小物などのメンテナンスグッズの販売量が前年比130％と好調である。全体的に車両購入よりもメンテナンス関連の売上が伸びている。
,,○,高級レストラン（経営者）,お客様の様子,・春になって景気が良くなってきているのか、人が大勢行き来して買物をするようになってきている。
,,○,旅行代理店（従業員）,来客数の動き,・２月の平昌オリンピックにて地元選手がメダルを取ったことにより、地域が大いに盛り上がっている。本来であれば３月は流氷観光が終わり、閑散期となるが、今年は大きな経済波及効果が生じている。
,,○,旅行代理店（従業員）,販売量の動き,・次年度案件の問合せが増えてきている。また、その取扱額も例年と比べて多くなっている。
,,○,タクシー運転手,販売量の動き,・相変わらず乗務員不足が深刻であり、稼働台数の確保に難儀しているが、市場そのものは活況である。日車営業収入は乗務員不足のなかにあって、ほぼ前年並みで推移している。
,,○,住宅販売会社（経営者）,お客様の様子,・今冬は大雪の影響で大変苦労していたが、３月に入り相当早い雪解けがみられることで客のムードが良くなってきており、一安心している。
,,○,住宅販売会社（経営者）,お客様の様子,・モデルルームへの来訪客の商談に掛かる時間が以前より短くなっている。また、多くの客が購入を前向きに検討している。
,,□,商店街（代表者）,単価の動き,・買上単価の２極化が進んでいる。
,,□,商店街（代表者）,お客様の様子,・前月に引き続き、客の動きが良い。
,,□,商店街（代表者）,来客数の動き,・３月上旬の大雪の影響により来街者数が例年よりも減少していたが、中旬以降、春休みを迎えた学生らしき客が父兄同伴で来街することが増えている。ただ、飲食や遊興などの目的で来街することが多いようであり、衣料及び装飾品を含む職種全般的にはやや悪い状態が継続している。
,,□,一般小売店［酒］（経営者）,来客数の動き,・ここ数か月、フリー客が店頭で高額なワイン、ウイスキーを買い求める姿が目立ってきている。得意先による売上は芳しくないが、フリー客による売上が全体売上を下支えしている。
,,□,百貨店（販売促進担当）,販売量の動き,・最近の傾向として、来客数の減少、買上客数の微減、買上単価の上昇が続いていることで、売上が前年比微増で推移している。気候がようやく春めいてきたが、北海道ではまだ寒い日も多く、春物衣料が活発に動き出すまでしばらく時間が掛かりそうであり、売上が飛躍的に伸びることまでは考えられない。
,,□,百貨店（役員）,お客様の様子,・３か月前と比べて来客数が減少しているが、客単価が上がっており、売上的には変わっていない。
,,□,スーパー（店長）,お客様の様子,・依然として客の節約志向がみられるものの、目的買い需要については確実に客の動きが良くなっている。特に新生活関連商材や学生服で、そうした動きが顕著である。
,,□,スーパー（店長）,来客数の動き,・ここ数年の競合店の攻勢により、当店ではかなり競合店から後れを取っている。
,,□,スーパー（役員）,来客数の動き,・雪解けとともに来客数が増加傾向にあるが、買い回り客が増えているのか、客単価にやや落ち込みがみられる。また、来客数はここ３か月増加傾向にあるが、前年からは１％強低下している。３月の売上は客の買上点数が増加したことで、どうにか前年並みをキープできそうである。
,,□,コンビニ（エリア担当）,来客数の動き,・来客数の前年比をみると、３か月前と変化がない。人口減少が大きな要因の１つとなっている。
,,□,家電量販店（店員）,来客数の動き,・３月初めの大雪の影響で来客数、売上が落ち込んだ。３週目の土日には例年並みの来客数に回復したが、落ち込み分を取り戻すことができなかった。
,,□,乗用車販売店（従業員）,販売量の動き,・来客数、販売量は安定しているが、上向き感がない｡
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品の動向に変化がなく、安定して推移している。
,,□,高級レストラン（スタッフ）,単価の動き,・昼は５～６名の家族連れが多く、満席となるが、単品メニューの注文が多く、客単価が上がらなかった。夜は順番待ちこそ出なかったものの、ほぼ満席であった。また、北海道新幹線の開業効果が薄れていることもあり、売上は前年比マイナス20％と厳しいものがある。
,,□,高級レストラン（スタッフ）,販売量の動き,・３月の売上は前年をやや下回った。食品の値上がりが家計に影響したのか、ランチの主婦層が少なかった。また、毎週のように低気圧が通過したことや満月の日が２回あったことなどで、不調を訴える人も多かったようである。人手不足も深刻化しており、近所の飲食店では常時求人の貼り紙を掲示している。さらに、転勤族の客によると、引っ越し業者のスタッフが不足していることで、道内の引っ越し代金が80万円を超えたとのことであり、特に当事者は外食どころではないようだ。引っ越しのスタッフ不足が飲食店の売上にも響いてくるとは考えていなかった。
,,□,旅行代理店（従業員）,競争相手の様子,・前年の秋以降、個人旅行も含めて好調を維持している。他社も販売が好調なようである。
,,□,タクシー運転手,来客数の動き,・３月中旬以降、例年よりも暖かい日が多く、雪の日も少なかったため、雪解けが早く、タクシーの利用が減少している。また、前月までと同じく乗務員不足でタクシーの稼働率が落ち込んでいる。タクシー１台当たりの売上は７％程度増えているが、会社の売上はマイナスであった。
,,□,美容室（経営者）,来客数の動き,・３月上旬に２つの低気圧が近づき、大雪と大雨に見舞われたこともあり、前半の来客数がかなり落ち込んだ。しかしながら、後半には、ほぼ通常どおりの来客数に回復するなど、落ち込み分を取り戻してきている。
,,□,美容室（経営者）,販売量の動き,・季節需要により売上が増加している。ただ、前年比は５％弱低下している。
,,□,美容室（経営者）,お客様の様子,・景気が良いのか、悪いのかは分からないが、客は使うべき時には金を使うものの、その分、我慢しているところがある。
,,□,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・前年と比較して公共工事が減少しており、それが輸送量の減少に大きく影響している。
,,▲,百貨店（担当者）,単価の動き,・引き続き来客数の前年比は伸びているものの、買上客数の減少や客単価の低下がみられる。客の購買動機につながるような仕掛けなど、店舗として売上につなげる努力が必要になってきている。
