Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,通信会社（企画担当）,お客様の様子,・前年は景気の悪い話しか聞こえなかったが、マンション業者や不動産会社などへの提案営業において非常に前向きな話が聞かれるように変化してきた。
,,○,商店街（代表者）,お客様の様子,・１月に入ってから寒波が続き、防寒用品の動きが活発化している。ただし、それ以外の商品については消費に消極的な姿勢を感じる。
,,○,商店街（代表者）,お客様の様子,・季節商材の売行きが少し良くなっている。
,,○,商店街（代表者）,来客数の動き,・年明けの初売りでは、例年にないほどの来客があった。一段落した２週目以降も、気温が低いせいか来客数が落ちることなく順調に推移している。
,,○,一般小売店［酒］（経営者）,来客数の動き,・来客数が増えてきている。
,,○,百貨店（役員）,単価の動き,・ギフト需要が終わっても、ブランド品や毛皮をあしらったコート・ジャケットなどの高額品の動きが良く、売上を押し上げている。特に婦人服は前年比102％と順調に推移している。
,,○,スーパー（店長）,来客数の動き,・前年の１月は衣料品が不振であったが、今年の売上は前年比101％と前年実績を上回っている。その他の部門については、住居用品が前年比102％、食品が前年比99％、テナント入居している専門店が前年比98％となっている。各部門を合わせた全体の売上は前年比99％となっており、前年比100％の全国とほぼ同程度の数字となっている。来客数については前年比98％であり、全国と同水準となっている。
,,○,スーパー（店長）,販売量の動き,・10～１月にかけて販売量は下降線をたどっているが、これは例年の傾向であり、１月の前年比は102％と前年を上回っている。
,,○,スーパー（企画担当）,来客数の動き,・客単価について、前年比をみると前年の95％から今年は97～98％まで回復している。
,,○,家電量販店（地区統括部長）,販売量の動き,・依然として薄型テレビとＤＶＤレコーダーの販売が好調であり、来店客の成約率も非常に高い。
,,○,乗用車販売店（営業担当）,販売量の動き,・前年に比べて販売量が増えてきた。
,,○,一般レストラン（スタッフ）,単価の動き,・前年の９月から５か月連続して客単価が前年を上回っている。来客数は前年並みだが、単価の上昇が売上の増加につながっている。
,,○,スナック（経営者）,来客数の動き,・会社単位での新年会はほとんどなかったものの、様々な形での新年交礼会があり、いくらかは来客があった。
,,○,観光型ホテル（経営者）,来客数の動き,・地元客の動きは鈍いが、本州からのツアー客や台湾・香港などからの海外旅行客が好調であり、宿泊客が増加しつつある。ただし宿泊単価が低下しており、売上面では手放しで喜べない状況である。
,,○,観光型ホテル（スタッフ）,単価の動き,・宿泊客数は横ばいであるものの、宿泊単価が回復基調にあることから、総収入は増加している。
,,○,タクシー運転手,お客様の様子,・客が増えており、タクシーの乗車回数が伸びている。
,,○,観光名所（役員）,販売量の動き,・ロープウェイの輸送人員数をみると上昇基調にあり、前月までの落ち込みから回復している。
,,○,設計事務所（職員）,お客様の様子,・アスベストや耐震強度偽装問題などの余波でその対応に追われ忙しい。これらのことが景気回復に好影響を与えているとは思えないが、これらの問題を通しての建築主との会話の中で、建築主の事業投資に対する意欲が以前より高まっていることを感じる。
,,□,百貨店（売場主任）,お客様の様子,・初売りの３日間は漸減という出足だったが、中旬の大型物産展で客数が伸びた。最上階にある催事場に訪れた客が他のフロアも巡るシャワー効果を久々に感じた。ただし例年にない大雪といったマイナス要因もあり、全体としては変わらないままである。
,,□,百貨店（売場主任）,来客数の動き,・１月に入っても寒さが続き、冬物衣料が活発に動いている。特に防寒コート、マフラー、手袋、靴関連の動きが良い状況である。ただし寒波がなければこうした状況にはならなかったため、全体としては変わらない。
,,□,百貨店（売場主任）,お客様の様子,・冬物商材が段階的に値下げされるなかで中盤の時期にさしかかっているが、値段の最終プライスの時期を問い合わせる客が多い。
,,□,スーパー（店長）,単価の動き,・プロモーションを強化したことで客数が前年比102％と伸びているものの、売上の伸びにつながらず、逆に客単価の低下、販売点数の減少が続いている状況にある。
,,□,スーパー（企画担当）,単価の動き,・前年12月の歳末商戦前後から来客数が回復傾向にある一方で、販売単価については、野菜の部分的な相場高、米の価格低下幅の縮小などにもかかわらず、全体の低下傾向に歯止めが掛かっておらず、客単価も伸び悩みが続いている。
,,□,家電量販店（店員）,競争相手の様子,・安売りを行っている店には客が入っているようだが、それ以外の店については客足が分散している。
,,□,乗用車販売店（従業員）,来客数の動き,・新型車が出て高い車を見に来る人が多いが、買うまでには至っていない。
,,□,乗用車販売店（従業員）,来客数の動き,・来客数の動きは去年より悪い状態であるが、店舗によっては良いところもあり、地域差が拡大している。
,,□,高級レストラン（スタッフ）,単価の動き,・前年と比較して客数はさほど落ちていないが、低単価での利用が多く、客単価の低下が目立っている。
,,□,高級レストラン（スタッフ）,来客数の動き,・今年に入り、ビジネス客が目立ってきた。観光客も増加しており、久しぶりに客数、売上とも前年を上回った。客数、売上とも前年から６％のアップだった。
,,□,タクシー運転手,来客数の動き,・１月は降雪が多く、除雪体制も満足でないため、市内のいたるところで交通渋滞がひどくなっており、タクシーの輸送効率が悪くなっている。その上、利用客も減少しており、前年との比較でも売上が大きく減少している。
,,□,タクシー運転手,お客様の様子,・市内全体の平均でも前年比がマイナスで推移しており、冬期間の需要期の割には売上が伸び悩んでいる。
,,□,住宅販売会社（従業員）,来客数の動き,・相変わらずマイホームセンターへの来場者が少ない。
,,□,住宅販売会社（従業員）,販売量の動き,・販売量の低下もさることながら、非常に客の出足が悪く、また一戸当たりの単価も低迷している状況である。
,,▲,商店街（代表者）,来客数の動き,・寒さが厳しかったことから、商店街では人があまり出歩かなかった。特に平日の客数が減少しており、販売量も大きく減少した。郊外店も同様の傾向であった。
,,▲,百貨店（販売促進担当）,お客様の様子,・12月の寒さの影響でコートの購買が前倒しになっており、ジャケットを含めたアウターが好調に推移した反面、全国的にコートが品薄の状態となっている。特にウールコートはアパレルメーカーが生産を絞り気味にしたこともあり、１月への持ち越し在庫も少なく、セール時期の売上に影響している。１月のセールを待たず、12月に購買した客も多かった。セールでの購買動向については、短期集中型の様相が年々加速しており、第１週は前年を上回って推移したものの、第２週からは既にセールが収束したかのように動きが弱まった。
,,▲,コンビニ（エリア担当）,競争相手の様子,・12月仕入れ分の支払が経営を圧迫しているのか、競争相手の店舗閉鎖が相次いでいる。閉鎖の話が聞こえてくる一方で、新規開店の話は少ない。
,,▲,その他専門店［医薬品］（経営者）,来客数の動き,・インフルエンザ等の流行を見越して、仕入れたマスク、体温計等があまり動かない。その一方でカイロ、湯たんぽ等の季節商材が品切れ状態であり、売りたくても商品の欠品が多い。客数は例年の80％くらいであり、必要なものしか購入しないという傾向が続いている。
,,▲,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・灯油価格の高騰により、客は価格に対してかなりシビアになっている。
,,▲,高級レストラン（スタッフ）,販売量の動き,・食材の値上げや価格の割引率アップで原材料費がじわじわと上がってきた。牛肉の輸入再開で肉の値下げを期待したが、中止となってしまったことも残念であった。部門別の売上では、レストランの昼食が天候に大きく左右され前年比85％となった。夕食は前年並みであったが、個室は昼の新年会などの利用が減少して前年比60％であった。
,,▲,旅行代理店（従業員）,販売量の動き,・来店客数が伸びず、電話での問い合わせも大きく減少している。
,,▲,旅行代理店（従業員）,販売量の動き,・来店客数がダウンしている。大雪の影響もあり、ツアーのキャンセルも多い。
,,▲,美容室（経営者）,来客数の動き,・寒波と大雪のため歩道、車道とも除雪が滞っており、来客数が前年に比べて10％程度減少している。
,,×,衣料品専門店（店長）,来客数の動き,・１月は非常に寒く、また雪が多かったため、客の出足が悪く、商売にならなかった。
,,×,スナック（経営者）,来客数の動き,・前年、前々年度より来客数が少なくなっている。
,,×,旅行代理店（従業員）,来客数の動き,・２月、３月発の旅行申込の動きが、例年と比べて悪い。
"企業
動向
関連

(北海道)",,◎,－,－,－
