Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,スーパー（店長）,単価の動き,・新型コロナウイルスの影響もあり、いまだに客のまとめ買いが続いている。客単価が前年よりも高くなっている。
,,○,スーパー（役員）,お客様の様子,・地元産品の発送が増加している。旅行、外食分の費用を使って親類にギフトを贈るなど、きずな需要のような消費が起きている。
,,○,コンビニ（エリア担当）,単価の動き,・買上点数が増えており、それに伴って客単価も上がっている。
,,○,高級レストラン（スタッフ）,来客数の動き,・来客数が増えており、売上も前年並みで推移している。
,,○,観光名所（従業員）,来客数の動き,・Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンを利用した国内観光客が増えており、にぎわいを取り戻しつつある。地域共通クーポンを利用した土産品の購入に対しても意欲的な人が多い。現状、個人客はほぼ例年並みに戻っており、インバウンドの団体客のみゼロという状況である。
,,□,商店街（代表者）,来客数の動き,・当地において、10月下旬から新型コロナウイルスの感染が拡大していることで、中心部を訪れる来街者が急激に減少しており、昼夜を問わず閑散としている。例年、年末の買物を控えて、客の出控えがみられる月であるが、今年は駐車場、バス停、人気店などを確認しても利用者が少なく、各店舗の来客数は例年の６割程度と見込まれる。
,,□,商店街（代表者）,販売量の動き,・果物の収穫量は例年どおりである。ただ、新型コロナウイルスの感染者数が減ってこない現状から、輸出物の先行きがみえない状況にある。
,,□,スーパー（役員）,来客数の動き,・ここ数か月、新型コロナウイルスの影響で来客数が前年から２％前後落ち込んでいるものの、客単価が前年を上回っており、売上を押し上げている。そのため、売上が高止まりしている状況が続いている。
,,□,コンビニ（エリア担当）,お客様の様子,・新型コロナウイルスの影響により、客の動きが鈍化している。
,,□,家電量販店（店員）,販売量の動き,・当地では、11月に入りプレミアム付商品券が発行されたことから、月後半から店内に活気が出てきている。
,,□,その他専門店［医薬品］（経営者）,お客様の様子,・新型コロナウイルス対策も含めて、客からの健康相談が増えている。売上についても、消費税増税前の駆け込み需要の反動減がみられた９月を除けば、前年を上回っている。こうしたことから、当業界は現在まで新型コロナウイルスの影響を受けていない状況にある。
,,□,タクシー運転手,お客様の様子,・景況感は９～10月と若干の上向き傾向にあったが、ここに来て大変厳しい状況となっている。これから年末に掛けて、景況感はまだまだ悪くなることが懸念される。
,,□,美容室（経営者）,来客数の動き,・数か月にわたって同じような来客数で推移しており、余り変動がみられない。良くもならない代わりに悪くもならない状況が続いており、客の動きが固定化してきているようにみられる。
,,□,美容室（経営者）,販売量の動き,・売上、来客数のいずれについても３か月前と比べて大きな変動がみられない。
,,▲,商店街（代表者）,お客様の様子,・新型コロナウイルスの影響で客の反応が悪くなっている。特に繁華街の状況が悪いことで客のマインドが右肩下がりになっている。
,,▲,一般小売店［酒］（経営者）,お客様の様子,・新型コロナウイルス感染拡大の第３波により、前月まで持ち直し傾向にあった売上に急ブレーキが掛かり、再び厳しい状況に戻ってきている。
,,▲,百貨店（販売促進担当）,来客数の動き,・新型コロナウイルス感染者数の増加に伴い、来客数の減少傾向に歯止めが掛からず苦戦している。固定客の多い特選ブティックなどの減少幅は小さいが、レストラン、喫茶などは壊滅的な状況となっている。
,,▲,百貨店（営業販促担当）,来客数の動き,・中旬以降の新型コロナウイルスの感染拡大が要因で来客数が大きく落ち込んでいる。特に年配客の動きが悪くなっている。
,,▲,スーパー（店長）,来客数の動き,・新型コロナウイルス感染者やＰＣＲ検査実施者の増加と反比例する形で来客数が減少しており、春先と同じような状況に陥っている。特に週末の来客数減少が顕著であり、客単価が上昇してもカバーしきれないほどである。また、今年は雪が少ないため、冬靴や重防寒衣料などの季節商材についても、前年のような動きがみられない。
,,▲,コンビニ（エリア担当）,お客様の様子,・新型コロナウイルスの影響で、近場で買物するという客の行動が強まっていることから、当業界では売上が伸びているが、客の買物の仕方をみる限り、実態としての景気が良いようにはみえない。
,,▲,乗用車販売店（経営者）,お客様の様子,・新型コロナウイルス感染拡大の影響に加えて、地場の基幹産業が奮わないことから、消費者マインドの低下がみられる。
,,▲,乗用車販売店（従業員）,販売量の動き,・例年、冬場を迎えると４月頃まで市場が縮小する傾向にあることから、今年も３か月前と比べて景気が落ち込んでいる。
,,▲,乗用車販売店（従業員）,販売量の動き,・11月ということでタイヤ交換を目的とした客の来店がみられ、忙しかったが、そこからつながるような商談が余りみられなかった。客の動きが鈍く、新型コロナウイルスの影響が大きく出ている１か月であった。
,,▲,乗用車販売店（従業員）,お客様の様子,・新型コロナウイルスの第３波の影響で自粛ムードが強まっている。外に出ることに対する不安が客の間に広がっていることで、前年よりも来客数が落ち込んでいる。
,,▲,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・新型コロナウイルスの感染拡大に伴い、販売量が減少傾向にある。
,,▲,高級レストラン（経営者）,来客数の動き,・Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの効果により、観光客が増え始め、例年並みとまではいかないまでも、大分上向きになっていたが、新型コロナウイルスの感染拡大を受けて札幌市がＧｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの対象から除外されたこと、当地でも感染が拡大していることなどから、段々と客の動きも悪くなっている。観光客の入込も減っており、今後、景気はますます悪くなることが懸念される。
,,▲,高級レストラン（スタッフ）,販売量の動き,・新型コロナウイルス感染者が急増しているためか、11月中旬から売上が下がり始め、月全体では前年比30％を下回るなど、景気はやや悪い状況にある。月前半はランチが好調だったほか、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの効果でホテルなども活況だったため、とても残念である。現在、夜は予約客もみられず、振りの客も少ないため、開店休業状態である。一方、地方の飲食店ではプレミアム付食事券の利用が活発であり、夜も盛況な店舗がみられるなど、都市部ほど神経質な状況がみられていない。また、札幌市において繁華街の接待を伴う飲食店に対する営業自粛要請が始まったが、直前まで客入りが絶好調だった店舗も一部でみられるようであり、そのことから、当分の間、全国的な感染者が増えるとみる向きもある。
,,▲,旅行代理店（従業員）,来客数の動き,・９～10月に掛けて、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの効果で、個人観光客のみならず、これまで皆無だった団体旅行客に復活傾向がみられたことで、ようやく宿泊施設や貸切りバス事業者なども先行きに期待を持てる状況となっていたが、11月に入り、札幌市を中心に新型コロナウイルスの感染が拡大し、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの対象から札幌市が除外されたことで、客から北海道観光自体が敬遠されるようになることが懸念される。
,,▲,旅行代理店（従業員）,お客様の様子,・少しずつ回復傾向にあったが、新型コロナウイルスの第３波が拡大している影響で、数少ない団体旅行が直前で取消しになるなど、再び厳しい状況となっている。
,,▲,タクシー運転手,販売量の動き,・新型コロナウイルスの感染者が北海道内で急増していることで、夜間の人の動きが停滞しており、当社の売上にも影響が生じている。５月ほどの悪さではないが、売上は前年比40％程度まで落ち込んでいる。
,,▲,通信会社（企画担当）,販売量の動き,・これまで大型商業施設での出店販売で販売量を維持してきたが、新型コロナウイルス感染拡大の影響で都市圏での出店販売に制限が掛かり、実施困難となっている。振りの客を獲得しにくくなったことで、販売量が再び減少に転じている。
,,▲,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・11月に入り、Ｇｏ　Ｔｏキャンペーン事業の効果が縮小している。
,,×,商店街（代表者）,来客数の動き,・新型コロナウイルスの感染者数が増えているとの報道が連日出るたびに来街者が減少している。当店の来客数も減っている。
